865,1688.75,02-16-2020 14:56:43
395,223.68,04-02-2020 14:13:09
777,369.18,12-24-2020 05:50:37
912,1227.11,10-29-2019 07:17:47
431,22.71,03-22-2019 12:21:38
42,632.56,11-13-2019 21:21:59
266,2695.22,01-29-2021 12:42:51
989,876.32,04-29-2021 23:36:31
524,585.67,11-19-2020 00:26:19
498,552.54,09-26-2021 05:33:24
415,907.15,10-05-2020 18:07:55
941,918.51,11-16-2020 15:47:14
803,1167.71,01-02-2020 19:41:03
850,1568.81,11-12-2019 03:52:08
311,866.38,12-17-2021 10:03:03
992,2389.51,03-02-2020 20:24:42
489,1092.07,11-30-2021 21:35:32
367,1428.09,02-04-2019 09:32:20
598,1190.62,07-09-2021 11:29:22
914,2608.78,07-20-2021 16:44:35
930,2170.75,09-08-2020 02:59:22
224,1815.77,04-27-2019 19:25:12
517,170.82,08-24-2019 20:50:16
143,611.76,07-04-2020 18:20:48
289,1760.85,05-05-2020 22:47:48
144,1612.29,11-14-2020 17:37:43
774,452.67,07-29-2021 05:21:05
98,620.55,11-27-2019 02:58:10
634,95.36,06-26-2019 18:25:30
819,1429.49,11-12-2019 15:49:49
257,1552.96,05-10-2020 08:23:39
932,964.08,05-31-2021 02:30:06
546,1245.05,07-01-2020 05:59:37
723,1229.60,04-05-2020 19:56:49
830,2885.50,02-21-2020 08:29:17
617,286.97,05-24-2019 02:59:55
924,1141.52,08-21-2021 00:50:31
151,2040.43,09-23-2020 10:55:18
318,170.81,07-24-2021 08:36:21
102,1437.38,02-07-2020 14:05:32
748,2608.72,08-13-2019 23:53:57
76,2620.77,11-24-2019 04:45:42
921,1412.50,03-14-2019 17:20:16
871,441.81,01-02-2020 23:49:05
701,376.18,06-29-2021 19:15:31
339,2256.13,04-23-2020 01:47:29
484,2564.89,04-14-2021 18:29:18
574,1284.76,05-04-2019 18:53:51
104,1626.99,10-13-2020 22:21:16
363,213.18,05-24-2021 23:50:15
445,483.28,11-21-2020 00:36:59
324,1101.29,01-07-2021 00:17:05
626,1463.99,11-22-2021 00:23:37
656,327.68,01-25-2021 01:34:56
935,2638.23,11-08-2021 10:43:04
210,772.77,02-03-2019 17:00:46
990,511.64,09-28-2020 07:12:54
566,459.66,04-29-2020 05:56:32
489,1464.99,11-27-2020 12:14:58
454,369.43,05-05-2021 00:21:32
887,1934.62,02-28-2020 23:51:06
534,423.54,08-08-2019 19:09:59
267,347.47,10-05-2020 09:10:10
64,83.35,02-20-2020 21:59:29
825,1363.69,06-10-2021 21:02:50
941,825.01,03-01-2019 00:42:44
562,1937.60,06-09-2021 00:46:51
938,1736.03,11-14-2020 14:59:16
15,865.28,06-10-2021 06:41:23
96,354.41,11-10-2019 05:33:59
737,1578.96,05-10-2019 15:25:49
861,959.66,03-19-2021 18:35:26
409,702.70,03-03-2019 09:38:51
728,2450.71,04-02-2020 23:13:22
845,3013.32,09-25-2020 01:38:45
804,1446.54,01-15-2021 23:49:44
685,1788.66,06-27-2019 19:00:15
641,2924.69,01-07-2021 05:38:11
2,1604.57,05-16-2021 10:11:25
627,2625.27,01-22-2021 15:50:37
506,2006.95,12-07-2021 01:50:43
848,1884.28,02-09-2020 01:05:47
